Material,Descripcio,Format_UMA,ZCE_per_unitat,ZCE_per_palet,Unitats_per_palet
0AM0425,CHOVI SALSA BARBACOA 2KG,UN,0.26,436.8,1680.0
0AM0451,GALLO HARINA DE TRIGO HORECA 5KG,UN,0.65,35.1,54.0
0AM0453,CERVANTES PIMIENTA NEGRA MOLIDA 200 G.,UN,0.03,7.2,240.0
0AM0459,CERVANTES PIMENTON DULCE 200 G.,UN,0.03,7.2,240.0
0AM0463,GALLO MACARRONES RALLADOS 3 KG.,UN,0.39,,
0AM0484,CACAOLAT PASTELITOS P10,UN,0.05,125.0,2500.0
0AM0492,CHOVI SALSA CESAR 25CL,UN,0.03,17.28,576.0
0AM0493,CHOVI SALSA DE MIEL Y MOSTAZA 25CL,UN,0.03,17.28,576.0
0AM0494,RANCHERA M XICO TOTOPOS (NACHOS) 1KG 4U,CAJ,0.52,45.76,88.0
0AM0501,CHOVI MOSTAZA AMARILLA 260G,UN,0.03,50.4,1680.0
0AM0502,CHOVI SALSA BRAVA 265G,UN,0.03,50.4,1680.0
0AM0504,CHOVI SALSA ALLIOLI AMB OU CAMPERO 25CL,UN,0.03,50.4,1680.0
0AM0506,"REDONDO ALIÑO DE LA ABUELA 2,5 KG.",UN,0.33,,
0AM0509,BORNIER MOSTAZA ANTIGUA EN GRANO 210 G.,UN,0.03,18.0,600.0
0AM0533,RANCHERA M XICO SALSA GUACAMOLE 2 L.,UN,0.26,78.0,300.0
0AM0535,RANCHERA M XICO SALSA MEJICANA 2 L.,UN,0.26,78.0,300.0
0AM0539,GALLO LASAÑA DE HUEVO 320 PLACAS 4KG,UN,0.52,67.6,130.0
0AM0553,CHOVI SALSA BRAVA ESP PATATAS 1 KG,UN,0.13,39.0,300.0
0AM0565,"ORLANDO SALSA PIZZA 2,1 KG.",UN,0.27,453.6,1680.0
0AM0567,UBAGO ATUN TRONCO ACEITE DE GIRASOL 1000,UN,0.13,84.24,648.0
0AM0580,KNORR CALDO PARA PAELLA 900G 144U,UN,0.12,43.2,360.0
0AM0587,SOUPEEX CALDO DE PESCADO DESHIDRATADO 1K,UN,0.13,,
0AM0589,SOUPEEX CALDO DE POLLO DESHIDRATADO 1 KG,UN,0.13,,
0AM0606,CERVANTES ESENCIA VAINILLA 60G,UN,0.01,54.0,5400.0
0AM0623,PONS VINAGRE BALSAMICO DE MODENA 5L,UN,0.65,130.0,200.0
0AM0633,"PEPUS ACEITUNAS OLIVAS 0,28KG 15U",CAJ,0.55,,
0AM0642,PEPUS BERBERECHO NATURAL MEDIANO,UN,0.02,5.04,252.0
0AM0644,PEPUS MEJILLONES ESCABECHE GRANDE,UN,0.02,5.04,252.0
0AM0649,PATATA TOT SNACK C/SAL 4UX500G,CAJ,0.26,,
0AM0661,CERVANTES PIMENTON AHUMADO LA VERA 200G,UN,0.03,,
0AM0696,HELLMANN.S MAHONESA  5L,UN,0.65,,
0AM0698,RIFACLI CREP CACAO 1125G,UN,0.15,,
0AM0699,LA COCHURA GARBANZO CASTELLA 5KG,UN,0.65,,
0AM0700,NUTELLA 825 G,UN,0.11,,
0AM0702,SALSA ROMESCO FERRER POT 660G,UN,0.09,,
0AM0704,CARRETILLA ENSALADILLA RUSA 2KG 2U,CAJ,0.52,,
0AM0705,CARRETILLA ALBONDIGAS C/TOMATE 2KG 2U,CAJ,0.52,,
0AM0706,"CARRETILLA MACARRONES BOLOÑESA 1,8KG 2U",CAJ,0.47,,
0AM0710,"CARRETILLA CHAMPIÑONES Y AJOS 1,80KG 2U",CAJ,0.39,,
0AM0714,NUTELLA 3 KG,UN,0.39,,
0AM0724,ITAC COCTEL TAPEO FRUTOS SECOS 800G,UN,0.1,36.0,360.0
0AM0736,KNORR ROUX OSCURO 1KG,UN,0.13,,
0AM0738,GALLO PLUMAS Nº3 HOSTE. 3KG,UN,0.39,,
0AM0780,NOVOLIVA ACEITE DE ORUJO 5 L.,BOT,0.65,0.65,1.0
0AM0782,"GIMAR MINI MAGDALENA 1,5KG CHOCOLAT",CAJ,0.2,,
0AM0783,LOTUS BISCOFF 300U,CAJ,0.24,40.32,168.0
0AM0783,LOTUS BISCOFF 300U,ZPR,0.24,40.32,168.0
0AM0789,CORTIZO ATUN RALLADO A.GIRASOL RO 800G,UN,0.1,,
0AM0799,MILLAS MAYONESA SUPREME 5 KG.,UN,0.65,70.2,108.0
0AM0820,ESPINALER SALSA HOSTELERIA 2L GARRAFA,UN,0.26,,
0AM0831,ESPINALER MEJILLONES ESCABECHE 14/16,UN,0.02,,
0AM0844,PAYPAY SARDINA ESCABECHE RR125,UN,0.02,,
0AM0860,AVECREM CALDO PESCADO S/GLUTEN 1KG,UN,0.13,,
0AM0870,PONS VINAGRE MANZANA 50CL,UN,0.07,,
0AM0874,DIETILINEA EDULCORANTE    100U,UN,0.01,28.8,2880.0
0AM0875,DIETLINEA EDULCORANTE STEVIA,CAJ,0.01,,
0AM0876,AZUCAR MORENO CEPAC 6G 500U,CAJ,0.39,,
0AM0884,"CARRETILLA CARRILLADA 1,9  2U",CAJ,0.5,,
0AM0930,CARRETILLA RABO TORO 2KG 2U,CAJ,0.26,,
0AM0940,TOT SNACK VEGECHIP MIX 600GR,UN,0.08,,
0AM0946,AVECREM CALDO VERDURA S/GLUTEN 1KG,UN,0.13,,
0AM0955,"MILLAS SALSA BRAVA BOT PLASTICO 1,85 KG.",UN,0.24,,
0AM0959,"MILLAS SALSA PAPAS BRAVA 1,85L",UN,0.24,0.24,1.0
0AM0960,AZUCARERA AZUCAR SACO 5KG,UN,0.65,,
0AM0964,AZUCARERA AZUCAR MORENO BRIC 750G,UN,0.1,,
0AM0977,"MILLAS MAYONESA 1,85 KG.",UN,0.24,,
0AM0986,MAIZENA EXPRES CLARA 1KG,UN,0.13,,
0AM0987,CHOVI SALSA BARBACOA 12G SOBRES 252U,CAJ,0.39,,
0AM0989,CHOVI SALSA CESAR 2L,CAJ,0.26,,
0AM0991,CHOVI SALSA PICANTE LOUISIANA 110G,CAJ,0.01,,
0AM1001,FEMUA VINAGRE DE SIDRA NATURAL 75 CL.,UN,0.1,,
0AM1010,CAMARA ARROZ EXTRA 1 KG.,UN,0.13,13.0,100.0
0AM1011,LA COCHURA LENTEJA CAST. 1KG,UN,0.13,0.13,1.0
0AM1012,CHOVI MAYONESA CLAS. 5KG,UN,0.65,,
0AM1020,ESPINALER HIGADO DE BACALAO,UN,0.02,,
0AM1028,PAY PAY ATUN A.OLIV.RO85 P3,UN,0.02,,
0AM1047,REYBER CHOCOLATE TRAD.30G 40U,UN,0.16,46.08,288.0
0AM1055,GALLINA BLANCA MAIZCREM GALLINA 2KG,UN,0.26,56.16,216.0
0AM1058,LEYENDA HABITAS MINI BABY  345G,UN,0.05,,
0AM1059,PAY PAY CALAMAR EN SALSA AMERICANA OL120,UN,0.02,,
0AM1061,"REDONDO PEPINILLOS 300/400 2,5 KG.",UN,0.33,52.8,160.0
0AM1075,HELIOS FRUTAPUN MERM.FRESA 350G,UN,0.05,,
0AM1079,CHOVI SALSA CHEDDAR 1KG,UN,0.13,56.16,432.0
0AM1090,CAMARA ARROZ EXTRA 5 KG.,UN,0.65,109.2,168.0
0AM1091,CERVANTES PIMENTON PICANTE 200 G.,UN,0.03,,
0AM1093,BORNIER MOSTAZA ANTIGUA  1000G,UN,0.13,43.68,336.0
0AM1099,PAY PAY ZAMBURIÑAS SALSA DE VIEIRA OL120,UN,0.02,,
0AM1100,LELIA ACEITUNA KALAMATA 1 KG.,UN,0.13,62.4,480.0
0AM1104,MAIZENA EXPRESS OSCURA 1KG,UN,0.13,4.68,36.0
0AM1105,FERRAR SALSA CALÇOTS 645G,UN,0.08,,
0AM1108,CERVANTES ÑORAS  100G,UN,0.01,,
0AM1112,FAISAN PISTON MEDIADO 5 KG.,UN,0.65,45.5,70.0
0AM1125,ESPINALER BERBERECHOS 45/55,UN,0.02,,
0AM1126,ESPINALER BERBERECHOS OL120 55/65,UN,0.02,,
0AM1135,GB SALSA ALIOLI 1KG,UN,0.13,,
0AM1138,NOCILLA REPOSTERIA PROF S/ACEIT PALMA 2K,UN,0.26,37.44,144.0
0AM1139,CERVANTES CAYENA MOLIDA 150GR,UN,0.02,,
0AM1144,PAY PAY MEJILLONES EN ESCABECHE 14/18,UN,0.02,,
0AM1152,SAL GARCIA SAL YODADA SOBRES 1G 1000U,CAJ,0.13,,
0AM1155,CHOVI ALLIOLI 10G SOBRES 252U,CAJ,0.33,,
0AM1167,MARINAS PATATAS OLIVA 47G  10U,CAJ,0.06,7.5,125.0
0AM1175,"CHURRUCA COCTEL ORIGINAL 1,5 KG",UN,0.2,43.2,216.0
0AM1180,NOCILLA CREMA CACAO 15G  72U,UN,0.14,26.46,189.0
0AM1192,FLAPER COCTEL FRUTOS SECO AHORRO BOLSA 1,UN,0.13,37.44,288.0
0AM1194,GANCEDO COCTEL DE FRUTOS SECOS SUPER 2KG,UN,0.26,12.48,48.0
0AM1195,GANCEDO COCTEL FRUTOS SECOS ECONOMICO 1K,UN,0.13,37.44,288.0
0AM1196,FLAPER MORRO CUBO 800GR,UN,0.1,14.0,140.0
0AM1204,ESPINALER BOQUERON EN VINAGRE 10F 80G,UN,0.02,24.0,1200.0
0AM1205,DELOUISE CREMA VINAGRE MODENA 50CL 1U,UN,0.07,,
0AM1206,GANCEDO PASAS SULTANAS 1KG,UN,0.13,37.44,288.0
0AM1213,PAY PAY PULPO TACOS ACEITE VEGETAL OL120,UN,0.02,,
0AM1221,CARRETILLA TOMATE TRITURADO 1KG,UN,0.13,93.6,720.0
0AM1223,GANCEDO COCTEL FRUTOS SEC ENSALADA 1KG,UN,0.13,37.44,288.0
0AM1225,GB TOMATE TOMAUNTA PULPA 800G,UN,0.1,64.8,648.0
0AM1239,PAYPAY BERBERECHO 55/65 OLI120,UN,0.02,,
0AM1240,GANCEDO OREJONES ALBARICOQUE N2 1KG,UN,0.13,49.92,384.0
0AM1247,V.VIDAL COCTEL DE GOMINOLAS CUBO 3KG,UN,0.39,65.52,168.0
0AM1267,"REDONDO ACEITUNA PERDIGON ANCHOA 2,5 KG.",UN,0.33,52.8,160.0
0AM1268,VERISOL TOMATE ENTERO 1KG,UN,0.13,,
0AM1276,BARGALLO ACEITE OLIVA SUAVE 5L,UN,0.65,97.5,150.0
0AM1277,BARGALLO ACEITE OLIVA INTENSO 5L,UN,0.65,97.5,150.0
0AM1278,BARGALLO ACEITE VIRGEN EXTRA 5L,UN,0.65,97.5,150.0
