Material,Descripcio,Format_UMA,ZCE_per_unitat,ZCE_per_palet,Unitats_per_palet
0AM4540,SABOR DEL SUR AOVE TARRINA 10ML 240U,CAJ,0.13,,
0AM4542,HELIOS MIEL MILFLORES 25G 80U,CAJ,0.26,77.22,297.0
0AM4556,BARGALLO ACEITE ALTO RENDIMIENTO 10L,UN,1.3,,
0AM4559,LA FRAGUA YEMA DE ESPARRAGO 9/12 30G,UN,0.01,,
0AM4570,FERRER BERBERECHOS AL NATURAL 45/55 OL12,UN,0.01,,
0AM4584,CORTIZO ATUN ACEITE GIRASOL RO 800G,UN,0.12,77.76,648.0
0AM4752,DIAMIR ESPARRAGO 13-16 COJONUDOS 1KG,UN,0.13,,
0AM4773,BAYMAR VENTRESCA ATUN A. GIRASOL 1KG,UN,0.13,84.24,648.0
0AM4775,CARMENCITA BICARBONATO SODICO 1KG,UN,0.13,,
0AM4792,CARMENCITA LAUREL HOJAS 40G,UN,0.01,,
0AM4892,SANTA ANA PATATAS 15U,CAJ,0.13,15.6,120.0
0AM4905,LAYS SAL 20U,CAJ,0.19,9.12,48.0
0AM4937,"CHOVI MAYONESA PROFESIONAL 3,6KG",UN,0.47,,
0AM4939,CARMENCITA ENELDO HOJA 150G,UN,0.02,,
0AM4941,CARTE D'OR SIROPE CARAMELO 1KG,UN,0.13,78.0,600.0
0AM4942,CARTE D'OR SIROPE CHOCOLATE 1KG,UN,0.13,78.0,600.0
0AM4943,CARTE D'OR SIROPE FRESA 1KG,UN,0.13,78.0,600.0
0AM4944,ITAC CEBOLLA FRITA GIRASOL 500G,UN,0.07,,
0AM4945,SOLIMON ZUMO DE LIMON 3L,UN,0.39,,
0AM4946,SOLIMON ZUMO DE LIMON 1L,UN,0.12,,
0AM4950,CHOVI ALLIOLI FOODSERVICE 82CL,UN,0.11,,
0AM4957,CHOVI MAYONESA FOODSERVICE 82CL,UN,0.11,,
0AM4959,CHOVI AJONESA FOODSERVICE 82CL,UN,0.11,,
0AM4960,CHOVI BARBACOA FOODSERVICE 950GR,UN,0.11,,
0AM4963,CHOVI KETCHUP FOODSERVICE 85CL,UN,0.11,,
0AM4976,CHOVI SALSA BRAVA PICANTE 840GR,UN,0.11,,
0AM4977,CHOVI CHEDDAR 840GR,UN,0.11,,
0AM4982,ESPINALER PATATAS F.SAL MARINA 50G 25U,CAJ,0.16,,
0AM4985,ESPINALER OLIVAS NEGRAS S.HUESO 150G 12U,CAJ,0.23,,
0AM4993,CARMENCITA SAL MARINA MOLIDA 360G,UN,0.05,,
0AM4994,CARMENCITA SAL ROSA HIMALAYA MOLIDA 370G,UN,0.05,,
0AM4995,CARMENCITA PIMIENTA NEGRA C/MOL 190G,UN,0.02,,
0AM4996,CARMENCITA 4 PIMIENTAS MOLIDA 145G,UN,0.02,,
0AM4997,BAYMAR BERBERECHOS NATURAL OL120 50/60,UN,0.02,,
0AM5005,AZUCAR 5G LA SOLANA 1500U,CAJ,0.97,,
0AM5006,PROMOLAC SIROPE DE CARAMELO 1KG,UN,0.13,,
0AM5015,PROMOLAC SIROPE DE FRESA 1KG,UN,0.13,62.4,480.0
0AM5029,AMALUR TRUFA NEGRA ENTERA 10G,UN,0.01,,
0AM5040,CARMENCITA PEREJIL 110G,UN,0.01,,
0AM5059,CHOVI MAYONESA ORIGINAL 400G,UN,0.05,,
0AM5064,PROMOLAC SIROPE DE CHOCOLATE 1KG,UN,0.13,62.4,480.0
0AM5074,CARMENCITA AZUCAR GLAS 670G,UN,0.09,,
0AM5075,"LA SEVILLANA RODAJAS ACEITUNA NEGRA 1,56",UN,0.2,48.0,240.0
0AM5083,CARMENCITA CANELA MOLIDA 400G,UN,0.05,,
0AM5095,RIFACLI CARQUIÑOLIS 700G,UN,0.09,,
0AM5096,"RIFACLI CARQUIÑOLIS 1,4KG",UN,0.18,,
0AM5183,LA FRAGUA ALUBIAS BL ARROCINAS CDAS 3KG,UN,0.39,,
0AM5218,A. XIXONA GOTAS DE CHOCOLATE BLANCO 1KG,UN,0.13,,
0AM5220,AZUCAR GARBI ZEFIR 7G 1000U,CAJ,0.91,,
0AM5233,CHOVI KEBAB WHITE 820ML 1U,UN,0.11,,
0AM5235,PAY PAY MEJILLONES ESC.25/35 RR120,UN,0.02,,
0AM5247,"GOYA JALAPEÑO VERDE RODAJAS 1,54KG 1U",UN,0.2,,
0AM5250,VERISOL RELLENA ANCHOA 200/220,UN,0.26,,
0AM5254,"VERISOL ALIÑADA PARTIDA AJO LATA 2,5KG",UN,0.65,,
0AM5266,BAYO ARROZ LARGO 5KG,UN,0.65,109.2,168.0
0AM5269,ITAC CACAHUETE REPELADO FRITO C/SAL 1KG,UN,0.13,,
0AM5278,AZUCAR TORNEM-HI TORELLO 6G 1000U,CAJ,0.91,,
0AM5287,CARMENCITA PIMENTON ROJO DULCE 490G,UN,0.06,,
0AM5310,BARGALLO RUGIN OLI FREGIR ALT OLEICO 20L,UN,2.6,117.0,45.0
0AM5311,CARTE D'OR SIROPE FRUTAS DEL BOSQUE 1KG,UN,0.13,78.0,600.0
0AM5312,GANCEDO COCTEL PICANTE CHILLY 2KG,UN,0.26,,
0AM5320,"CHOVI SAL SOBRES 0,8GR- 2000U",CAJ,0.2,,
0AM5326,MAMMA CRUMBS PANKO PAN RALL 1KG 1U,UN,0.13,,
0AM5329,GO-TAN SALSA SRIRACHA 215ML 1U,UN,0.01,,
0AM5332,PATAK'S SALSA TIKKA MASALA 450G 1U,UN,0.05,,
0AM5334,RIFACLI BARQUILLO VAINILLA 750G 1U,UN,0.09,,
0AM5336,RAM NATILLAS BRICK 1L 1U,UN,0.13,,
0AM5358,ESPINALER NAVAJAS AL NATURAL OL120 5/8,UN,0.01,,
0AM5364,CARMENCITA TANDEM SAL/PIM.165G,UN,0.02,,
0AM5369,PROMOLAC MOUSSE SABOR FRESA 820G,UN,0.11,,
0AM5370,PROMOLAC MOUSSE SABOR CHOCOLATE 1KG,UN,0.13,,
0AM5383,PROEZA TOMATE FRITO EXTRA LATA 3KG,UN,0.39,117.0,300.0
0AM5386,"PROEZA TOMATE ENTERO ""PELADO"" 5KG",UN,0.65,128.7,198.0
0AM5387,PROEZA TOMATE TRITURADO 5KG,UN,0.65,128.7,198.0
0AM5388,PROEZA ZANAHORIA RALLADA 3KG,UN,0.39,,
0AM5389,PROEZA MAIZ DULCE EN GRANO LATA 3KG,UN,0.39,,
0AM5390,PROEZA CHAMPIÑON LAMINADO LATA 3KG,UN,0.39,,
0AM5391,PROEZA REMOLACHA RALLADA 3KG,UN,0.39,,
0AM5392,PROEZA GARBANZOS EXTRA LATA 3KG,UN,0.39,,
0AM5393,PROEZA CEBOLLA FRITA A.GIRASOL LATA 3KG,UN,0.39,39.0,100.0
0AM5394,PROEZA ATUN A.GIRASOL BOLSA 1KG,UN,0.13,112.32,864.0
0AM5395,BARGASOL A.ALTO OLEICO EXTRA LATA 20 L.,UN,2.6,114.4,44.0
0AM5396,BARGALLO OLI FRIT FRIT 20L,UN,2.6,114.4,44.0
0AM5397,"SURINVER ESCALIVADA AL HORNO 1,1KG 1U",UN,0.14,,
0AM5408,NESTLE MILKYBAR SALSA CHOC.BL 1KG,UN,0.13,,
0AM5418,KIKKOMAN SALSA SOJA SIN GLUTEN 1L,UN,0.13,,
0AM5427,SANTA RITA HARINA REPOSTERIA 1KG,UN,0.13,,
0AM5428,SANTA RITA HARINA FRI.PESC 500G,UN,0.06,,
0AM5429,SANTA RITA HARINA FRIT.PESC 1KG,UN,0.13,,
0AM5447,"LOTUS BISCOFF CREMA DE GALLETA 1,6 KG",UN,0.2,,
0AM5463,"AZUCAR BLANCO 6G 1000U ""BARES""",CAJ,0.07,,
0AM5471,COLACAO SOBRES 16G ESTUCHE 50U,EST,0.1,,
0AM5474,PALITOS DE TRIGO 1KG (CUBO),UN,0.13,,
0AM5476,"PICOS CAMPEROS 1,5kg (CUBO)",UN,0.19,,
0AM5487,GIMAR BIZCOHO MANZANA PLANCHA 2KG 1U,UN,0.26,,
0AM5488,GIMAR BIZCOCHO DE YOGUR 20U (ENV. IND.),CAJ,0.27,,
0AM5495,LFM AOVE 25CL (BOT.PET MARASCA) 1U,UN,0.03,,
0AM5497,ESPINALER TORREZNOS 60GRS 12U,CAJ,0.09,,
0AM5498,"REYBAR CHOCOLATINA NGR 48,5% CACAO 250U",UN,0.11,,
0AM5500,REYBAR CACAO PURO EN POLVO BOTE 150G 1U,UN,0.01,,
0AM5501,CHOVI KETCHUP SOB.10G 172U+80G,CAJ,0.22,,
0AM5502,CHOVI MAYONESA SOB.10G 172U+80G,CAJ,0.22,,
0AM5506,"LA FRAGUA MERMEL. MELOC. CUBO 4,2KG 1U",UN,0.54,,
0AM5510,PROEZA JUDIA BLANCA 3KG 1U,UN,0.39,,
0AM5511,"PROEZA ESPARRAGOS EXTRA 17/24, 1KG 1U",UN,0.13,,
0AM5512,PROEZA LENTEJA EXTRA 3KG.  1U,UN,0.36,,
0AM5513,PROEZA PIQUILLO 80/100 3KG  1U,UN,0.36,,
0AM5514,PROEZA MELOCOTON ALMÍBAR 3KG  1U,UN,0.36,,
0AM5515,PROEZA PIÑA RODAJA ALMIBAR 3KG  1U,UN,0.36,,
0AM5516,PROEZA COCKTAIL 3KG  1U,UN,0.36,,
0AM5517,PROEZA MAIZ 500GR  1U,UN,0.07,,
0AM5518,PROEZA ATUN CLARO A.GIRASOL BOLSA 1KG  1,UN,0.13,,
0AM5519,PROEZA ACEITE GIRASOL 25L  1U,UN,3.25,97.5,30.0
0AM5526,PAY PAY MEJILLONES ESC.P-3 RO85,UN,0.02,,
0AM5528,PAY PAY SARDINETAS 6/12 RR90,UN,0.02,,
0AM5554,PAY PAY CHIPIRONES RELL. GULA RR120 1U,UN,0.02,,
0AM5555,LA FRAGUA ALCACHOFA CUARTEADA 3KG 1U,UN,0.39,,
0AM5562,ITAC ALMENDRA REPELADA CRUDA 1KG 1U,UN,0.13,,
0AM5564,FERRER BERBERECHOS AL NATURAL 25/35 OL12,UN,0.01,,
0AM5570,CARRETILLA-ALBONDIGAS EN SALSA BORDEL 2K,CAJ,0.26,,
0AM5571,ITAC AVELLANA REPELADA TOSTADA 1KG,UN,0.13,,
0AM5578,PROEZA ACEITE GIRASOL 5L,UN,0.65,117.0,180.0
0AM5579,PROEZA AOVE 5L,UN,0.65,117.0,180.0
0AM5584,LA FRAGUA PIMIENTO ROJO TIRAS EXTRA 3KG,UN,0.39,,
0AM5587,BONAPI MIEL MILFLORES 350G ANTIGOTEO 1U,UN,0.04,,
0AM5605,BONAPI MIEL MILFLORES 450G ANTIGOTEO 1U,UN,0.05,,
0AM5606,"JUANFRA CHUPADEDOS 2,5KG 1U",UN,0.32,,
0AM5607,"LA FRAGUA MERMEL. FRESA CUBO 4,2KG 1U",UN,0.54,,
0AM5616,LA FRAGUA ESPARRAGO 5/9 1KG,UN,0.13,,
0AM5617,BONAPI MIEL MILFLORES JARRA 3KG,UN,0.39,,
0AM5618,"LA FRAGUA ALCACH CORAZONES EXT 8/12 0,5K",UN,0.07,,
0AM5619,CARTE D'OR PANNA COTTA EN POLVO 2x260G,UN,0.07,,
0AM5620,CHOVI SALSA BRAVA 271G,UN,0.03,,
0AM5629,HELIOS DIET MERM. FRESA TARRINA 20G 80U,CAJ,0.2,,
0AM5630,COLACAO SOBRE 16G 50U +2 VASOS,CAJ,0.1,,
0AM5678,CARTE D'OR CREMA PISTACHOS 900G 1U,UN,0.11,,
0AM5690,BAYMAR BERBERECHOS NATURAL 35/45 RR125,UN,0.02,10.0,500.0
0CF0029,NESCAFE DESCAFEINADO SOBRE 2G 100U,UN,0.03,0.03,1.0
0CF0039,POMPADOUR TE INFUSION 100U,UN,0.03,21.6,720.0
0CF0042,POMPADOUR TE VERDE 100U,UN,0.03,21.6,720.0
0CF0045,POMPADOUR TILA INFUSION 100 U,UN,0.03,21.6,720.0
0CF0056,XPLICIT MEZCLA 80/20 1KG,UN,0.13,41.6,320.0
0CF0058,XPLICIT DESCAFEINADO 500GR,UN,0.07,35.28,504.0
0CF0058,XPLICIT DESCAFEINADO 500GR,ZPR,0.07,35.28,504.0
0CF0060,DESCAFEINADO CAPSULAS GENERIC 50U,CAJ,0.05,9.0,180.0
0CF0080,XPLICIT NATURAL CREMOSO 1KG,UN,0.13,41.6,320.0
0CF0080,XPLICIT NATURAL CREMOSO 1KG,ZPR,0.13,41.6,320.0
0CF0124,MOMENT TEA MENTA POLEO 15U,CAJ,0.01,,
0CF0128,MOMENT TEA VERDEJENGIBRE 15U,CAJ,0.01,,
0CF0353,BONKA SELECCIÓN PROFESIONAL NATURAL 1KG,UN,0.13,54.21,417.0
0CF0353,BONKA SELECCIÓN PROFESIONAL NATURAL 1KG,ZPR,0.13,54.21,417.0
0CF0355,BONKA ESSENTIA DESCAFEINADO GRANO 500G,UN,0.07,30.8,440.0
0CF0357,BONKA ESSENTIA ESPRESSO ITALIANO 1KG,UN,0.13,20.28,156.0
0CF0357,BONKA ESSENTIA ESPRESSO ITALIANO 1KG,ZPR,0.13,20.28,156.0
0CF0374,BONKA INTENSO NATURAL 1KG,UN,0.13,,
0CF0410,MOMENT TEA  MANZANILLA E15 15U,EST,0.01,,
0CF0411,MOMENT TEA ROJO PU ERH 15U,CAJ,0.01,,
0CF0412,MOMENT TEA ROOIBOS COPACABANA 15U,CAJ,0.01,,
0CF0413,MOMENT TEA INFUANIS DIGST 15U,CAJ,0.15,,
0CF0414,MOMENT TEA GREEN MATCHA 15U,CAJ,0.01,,
0CF0415,MOMENT TEA TILA 15U,CAJ,0.01,,
0CF0417,MOMENT TEA BLACKCHAI 15U,CAJ,0.01,,
0CF0418,MOMENT TEA PU ERH STRAWBERRY 15U,CAJ,0.01,,
0CF0419,MOMENT TEA NEGRO SUE. CAN. 15U,CAJ,0.01,,
0CF0420,MOMENT TEA VERDE MO. HIERBA 15U,CAJ,0.01,,
0CF0421,MOMENT TEA FRUTAS BOSQUE 15U,CAJ,0.01,,
0CF0424,MOMENT TEA ROOIBOS ALBA 15U,CAJ,0.01,,
0CF0711,MALONGO ITALIAN STYLE EXPRESSO 6G 120U,CAJ,0.09,12.96,144.0
0CF0875,AZUCAR M.PADEL OSONA 7G 1000U,CAJ,0.91,,
0CF1028,MALONGO EXPRESO INTENSO CAPSULAS 6G 120U,CAJ,0.09,12.96,144.0
0CF1028,MALONGO EXPRESO INTENSO CAPSULAS 6G 120U,ZPR,0.09,12.96,144.0
0CF1029,MALONGO GRAN RESERVA CAPSULAS 6G 120U,CAJ,0.09,12.96,144.0
0CF1029,MALONGO GRAN RESERVA CAPSULAS 6G 120U,ZPR,0.09,12.96,144.0
0CF1031,BONKA ESSENTIA AMÉRICAS 100% ARÁBICA 1KG,UN,0.13,31.2,240.0
0CF1031,BONKA ESSENTIA AMÉRICAS 100% ARÁBICA 1KG,ZPR,0.13,31.2,240.0
0CF1034,BONKA ESSENTIA ECOLÓGICO GRANO 1KG,UN,0.13,31.2,240.0
0CF1035,XPLICIT DESCAFEINADO SOLUBLE 2G 100U,CAJ,0.3,,
0CF1112,MALONGO DECA AQUA DESCAF ENFUND 6G 100U,CAJ,0.08,11.52,144.0
0CF1112,MALONGO DECA AQUA DESCAF ENFUND 6G 100U,ZPR,0.08,11.52,144.0
0CF1122,MOMENT TEA  CHAI TEA LATTE 10U,CAJ,0.01,1.0,100.0
0CF1123,MOMENT TEA  TÉ MATCHA LATTE 10U,CAJ,0.01,1.0,100.0
0CF1133,GARRIGA S.PURO ARABICA BOLSA 1KG 1U,UN,0.13,31.2,240.0
0CF1134,GARRIGA S.SUPERIOR NATURAL BOLSA 1KG 1U,UN,0.13,31.2,240.0
0CF1135,GARRIGA S.EXPRES NATURAL BOLSA 1KG 1U,UN,0.13,31.2,240.0
0CF1136,GARRIGA CREME NATURAL BOLSA 1KG 1U,UN,0.13,31.2,240.0
0CF1136,GARRIGA CREME NATURAL BOLSA 1KG 1U,ZPR,0.13,31.2,240.0
0CF1137,GARRIGA DESCAFEINADO BOLSA 500G 1U,UN,0.07,42.0,600.0
0CF1138,MOMENT TEA MENTA POLEO 100U,CAJ,0.01,,
0CF1139,"NESQUIK  13,5G SOBRES 50U",UN,0.08,,
0CF1140,MOMENT TEA MANZANILLA 100U,CAJ,0.01,,
0CF1141,MOMENT TEA TE VERDE 25U,CAJ,0.01,,
0CF1142,MOMENT TEA TILA 100U,CAJ,0.01,,
0CF1143,MOMENT TEA TE ROJO 25U,CAJ,0.01,,
0CF1144,MOMENT TEA TE NEGRO 100U,CAJ,0.01,,
0LI0002,LA GUITA MANZANILLA 75CL,BOT,0.1,72.0,720.0
0LI0004,RATAFIA RUSSET LIRO B.IN BOX3L,UN,0.3,9.0,30.0
0LI0008,MOSKOVSKAYA VODKA 70CL,BOT,0.1,60.0,600.0
0LI0010,SMIRNOFF VODKA 70CL,BOT,0.1,,
0LI0011,ABSOLUT VODKA 70CL,BOT,0.1,48.0,480.0
0LI0013,BEEFEATER GIN 70CL,BOT,0.1,72.0,720.0
0LI0016,LARIOS GIN 1L,BOT,0.1,48.0,480.0
0LI0018,BOMBAY SAPPHIRE GIN LONDON DRY 70CL,BOT,0.1,63.0,630.0
0LI0030,ZOCO PACHARAN 1L,BOT,0.1,57.6,576.0
0LI0031,ETXEKO PACHARAN 1L,BOT,0.1,38.4,384.0
0LI0032,PORTHOS CAZALLA 1L,BOT,0.1,48.0,480.0
0LI0033,MARTINI BIANCO VERMOUTH 1L,BOT,0.1,50.4,504.0
0LI0034,MARTINI ROSSO VERMOUTH 1L,BOT,0.1,50.4,504.0
0LI0039,FERNET BRANCA 70CL,BOT,0.1,48.0,480.0
0LI0044,MAGNO BRANDY 70CL,BOT,0.1,60.0,600.0
0LI0045,SOBERANO BRANDY 1L,BOT,0.1,48.0,480.0
0LI0046,VETERANO BRANDY 1L,BOT,0.1,54.0,540.0
0LI0047,TERRY BRANDY CENTENARIO 1L,BOT,0.1,54.0,540.0
0LI0049,103 BRANDY ETI.BLANCOS 70CL,BOT,0.1,60.0,600.0
0LI0050,CARLOS III BRANDY 70CL,BOT,0.1,54.0,540.0
0LI0051,CARLOS I BRANDY 70CL,BOT,0.1,32.4,324.0
0LI0052,MASCARO BRANDY V.O. 70CL,BOT,0.1,27.0,270.0
0LI0053,TORRES 5 BRANDY 70CL,BOT,0.1,57.6,576.0
0LI0054,TORRES 10 BRANDY 70CL,BOT,0.1,57.6,576.0
0LI0055,GRAN DUQUE ALBA BRANDY 75CL,BOT,0.1,36.0,360.0
0LI0061,BACARDI RON CARTA BLANCA 1L,BOT,0.1,57.0,570.0
0LI0062,PUJOL RON 1L,BOT,0.1,60.0,600.0
0LI0063,CACIQUE RON AÑEJO 70CL,BOT,0.1,72.0,720.0
0LI0064,HAVANA CLUB RON 3 AÑOS 70CL,BOT,0.1,60.0,600.0
0LI0066,HAVANA CLUB RON 7 AÑOS 70CL,BOT,0.1,60.0,600.0
0LI0068,NEGRITA RON 70CL,BOT,0.1,60.0,600.0
0LI0070,BARCELO RON 70CL,BOT,0.1,72.0,720.0
0LI0073,FRANGELICO LICOR AVELLANA 70CL,BOT,0.1,72.0,720.0
0LI0075,RIVES LIMA  1L,BOT,0.1,50.4,504.0
0LI0079,RIVES LICOR MORA SIN ALCOHOL,BOT,0.1,72.0,720.0
0LI0081,MARTIN MILLER'S GIN 70CL,BOT,0.1,,
0LI0084,COINTREAU 70CL,BOT,0.1,57.0,570.0
0LI0085,LICOR 43 1L,BOT,0.1,28.8,288.0
0LI0086,GRANPOMIER LICOR 70CL,BOT,0.1,39.6,396.0
0LI0087,GRANPECHER LICOR DE MELOCOTON 70CL,BOT,0.1,39.6,396.0
0LI0088,MALIBU LICOR DE RON DE COCO 70CL,BOT,0.1,57.0,570.0
0LI0089,PONCHE CABALLERO LICOR 1L,BOT,0.1,21.6,216.0
0LI0090,BONET ESTOMACAL 70CL,BOT,0.1,72.0,720.0
0LI0095,CALISAY 70CL,BOT,0.1,72.0,720.0
0LI0096,TRIPLE SEC PERNOD RICARD 70CL,BOT,0.1,68.4,684.0
0LI0100,J&B WHISKY RARE 70CL,BOT,0.1,72.0,720.0
0LI0101,BALLANTINE'S WHISKY 70CL,BOT,0.1,72.0,720.0
0LI0102,CUTTY SARK WHISKY 70CL,BOT,0.1,72.0,720.0
0LI0104,DEWAR'S WHITE LABEL WHISKY 70CL,BOT,0.1,75.0,750.0
0LI0105,WILLIAM LAWSONS WHISKY  70CL,BOT,0.1,72.0,720.0
0LI0106,THE FAMOUS GROUSE WHISKY 70CL,BOT,0.1,78.0,780.0
0LI0109,JOHNNIE WALKER RED WHISKY 70CL,BOT,0.1,72.0,720.0
0LI0110,CHIVAS REGAL 12 AÑOS WHISKY 70CL,BOT,0.1,48.0,480.0
0LI0111,JOHNNIE WALKER BLACK WHISKY 70CL,BOT,0.1,21.6,216.0
0LI0112,FOUR ROSES BOURBON 70CL,BOT,0.1,63.0,630.0
0LI0113,JACK DANIELS WHISKY 70CL,BOT,0.1,61.2,612.0
0LI0114,JIM BEAM BOURBON 70CL,BOT,0.1,30.0,300.0
0LI0116,CARDHU WHISKY 12 AÑOS 70CL,BOT,0.1,48.0,480.0
0LI0117,GLENFIDDICH 12 AÑOS WHISKY 70CL,BOT,0.1,38.4,384.0
0LI0121,KNOCKANDO 12 AÑOS WHISKY,BOT,0.1,38.4,384.0
0LI0124,JAMESON WHISKY 70CL,BOT,0.1,60.0,600.0
0LI0126,WHISKY DYC 70CL,BOT,0.1,72.0,720.0
0LI0128,BAILEYS ORIGINAL CREMA WHISKY 70CL,BOT,0.1,48.0,480.0
0LI0133,TANQUERAY GIN 70CL,BOT,0.1,48.0,480.0
0LI0137,YACHTING WHISKY PEACHE 70CL,BOT,0.1,36.0,360.0
0LI0138,BAILEYS ORIGINAL 1L,BOT,0.1,,
0LI0139,BRANDY 1866 GRAN RESERVA 70CL,BOT,0.1,57.0,570.0
0LI0141,MARIE BRIZARD ANIS 1L,BOT,0.1,38.4,384.0
0LI0143,PIPPERMINT GET27 70CL,BOT,0.1,57.0,570.0
0LI0144,SMIRNOFF VODKA RED 1L,BOT,0.1,72.0,720.0
0LI0145,BRUGAL RON AÑEJO 70CL,BOT,0.1,60.0,600.0
0LI0147,LICOR MELOCOTON ICA S.ALCOHOL RIVES,BOT,0.1,72.0,720.0
0LI0148,RIVES LICOR MANZANA SIN 70CL,BOT,0.1,72.0,720.0
0LI0149,XANTIAMEN OSBORNE ORUJO BLANCO 70CL,BOT,0.1,48.0,480.0
0LI0150,XANTIAMEN OSBORNE ORUJO HIERBAS 70CL 1U,BOT,0.1,48.0,480.0
0LI0151,ERISTOFF BLACK VODKA,BOT,0.1,51.0,510.0
0LI0152,RUAVIEJA LICOR DE CAFE 70CL,BOT,0.1,48.0,480.0
0LI0153,RUAVIEJA ORUJO HIERBAS 70CL,BOT,0.1,48.0,480.0
0LI0159,DYC WHISKY 8 AÑOS 70CL,BOT,0.1,64.8,648.0
0LI0163,LAGAVULIN WHISKY16A 43º 70CL,BOT,0.1,48.0,480.0
0LI0172,SEAGRAM'S GIN  EXTRA DRY 70CL,BOT,0.1,75.0,750.0
0LI0181,RUAVIEJA BLANCO AGUARDIENTE ORUJO 70CL,BOT,0.1,100.1,1001.0
0LI0182,JOSE CUERVO TEQUILA SILVER 38º 70CL,BOT,0.1,57.6,576.0
0LI0185,RATAFIA RUSSET 70CL,BOT,0.1,48.0,480.0
0LI0197,RIVES GRANADINA 1L,BOT,0.1,50.4,504.0
0LI0204,J&B RARE WHISKY 1L,BOT,0.1,,
0LI0220,LEGENDARIO RON ELIXIR 7 AÑOS 70CL,BOT,0.1,,
0LI0224,BALLANTINE'S WHISKY 1L,BOT,0.1,75.0,750.0
0LI0227,RIVES GROSELLA TROPIC 1L,BOT,0.1,48.0,480.0
0LI0230,MACHAQUITO ANIS SECO 1L,BOT,0.1,72.0,720.0
0LI0239,SANTA TERESA RON AÑEJO GRAN RESERVA 70CL,BOT,0.1,63.0,630.0
0LI0240,XANTIAMENT LIMONCELLO 70CL 1U,BOT,0.1,48.0,480.0
0LI0241,XANTIAMEN CREMA ORUJO 70CL,BOT,0.1,48.0,480.0
0LI0247,ANIS DEL MONO DULCE 70CL,BOT,0.1,72.0,720.0
0LI0248,BEEFEATER GIN 1L,BOT,0.1,,
0LI0249,CUTTY SARK WHISKY  1L,BOT,0.1,,
0LI0259,JIMADOR TEQUILA REPOSADO 75CL,BOT,0.1,,
0LI0264,RUAVIEJA CREMA ORUJO 70CL 17º,BOT,0.1,69.0,690.0
0LI0266,CITADELLE GIN 70CL,BOT,0.1,7.5,75.0
0LI0267,BULLDOG GIN 70CL,BOT,0.1,,
0LI0268,G VINE FLORAISON GIN 70CL,BOT,0.1,,
0LI0270,JAGERMEISTER LICOR HIERBAS 70CL,BOT,0.1,200.0,2000.0
0LI0284,GIN MARE MEDITERRANEAN 70CL,BOT,0.1,10.0,100.0
0LI0289,ALBERTSON ABSENTA VERDE 70CL,BOT,0.1,60.0,600.0
0LI0295,GRAN MARNIER ROJO 70CL,BOT,0.1,,
0LI0296,CALVADOS PERE MAGLOIRE 70CL,BOT,0.1,,
0LI0314,LICOR CREMA DE ARROZ 70CL,BOT,0.1,48.0,480.0
0LI0333,MATUSALEM AÑEJO 70CL,BOT,0.1,,
0LI0346,PUERTO DE INDIAS STRAWBERRY GIN 70CL,BOT,0.1,48.0,480.0
0LI0362,GIRO GIN 70CL,BOT,0.1,38.4,384.0
0LI0372,VILLA MASSA LIMONCELLO 70CL,BOT,0.1,,
0LI0381,NORDES GIN 70CL,BOT,0.1,75.0,750.0
0LI0393,TRIPLE SEC 3L DOS CRUCEIROS,UN,0.3,,
0LI0397,J&B WHISKY 3 BOT + 6 VASOS,CAJ,0.3,,
0LI0400,OLMECA TEQUILA CHOCOLATE 70CL,UN,0.1,,
0LI0431,FIREBALL LICOR DE WHISKY CON CANELA 70CL,BOT,0.1,,
0LI0452,MACALLAN 12 A.DOBLE CASK 70CL,BOT,0.1,0.1,1.0
0LI0453,TANQUERAY 1L,BOT,0.1,,
0LI0509,PANIZO ORUJO BLANCO 70CL,UN,0.1,,
0LI0510,PANIZO ORUJO HIERBAS 70CL,UN,0.1,,
0LI0512,PANIZO ORUJO CAFE 70CL,UN,0.1,,
0LI0521,CARDENAL MENDOZA BRANDY  70CL,UN,0.1,,
0LI0538,ULLEIT RYE BOURBON  70CL,UN,0.1,,
0LI0539,THE GLENROTHES 12AÑOS WHISKY 70CL,UN,0.1,,
0LI0542,ABSOLUT VODKA 1L,UN,0.1,,
0LI0560,APEROL BARBIERI 1L,BOT,0.1,,
0LI0561,CAMPARI 70CL,BOT,0.1,0.1,1.0
0LI0564,ROKU GIN JAPONESA 70CL,BOT,0.1,,
0LI0572,FLOR DE CAÑA 5 AÑOS 70CL,BOT,0.1,,
0LI0598,OLMECA TEQUILA REPOSADO 70CL,BOT,0.1,63.0,630.0
0LI0658,BELUGA VODKA 70CL,BOT,0.1,19.8,198.0
0LI0666,GRAPPA NONINO FRIULANA 70CL,BOT,0.1,8.4,84.0
0LI0681,BARCELO IMPERIAL 70CL,BOT,0.1,75.0,750.0
0LI0690,EL MONJE LICOR HIERBAS 70CL,BOT,0.1,48.0,480.0
0LI0692,JOHNNIE WALKER RED LAB WHISKY 1L,BOT,0.1,50.4,504.0
0LI0713,HAVANA CLUB ESPECIAL RON 70CL,BOT,0.1,,
0LI0718,LAGAR DO FRADE LIMONCELLO PET 3L,BOT,0.3,144.0,480.0
0LI0719,LAGAR DO FRADE ORUJO DE HIERBAS PET 3L,BOT,0.3,72.0,240.0
0LI0720,LAGAR DO FRADE CREMA D'ORUJO PET 3L,BOT,0.3,72.0,240.0
